,PCL-5,PCL-M,DTS,MPSS
17,0,17,0,0
18,0,18,0,0
19,0,19,0,0
20,0,20,1,0
21,1,21,2,1
22,3,22,3,2
23,4,23,4,3
24,6,24,5,4
25,7,25,7,5
26,9,26,8,6
27,10,27,9,7
28,12,28,10,8
29,13,29,11,9
30,15,30,12,10
31,16,31,13,11
32,18,32,14,12
33,19,33,15,13
34,20,34,16,14
35,22,35,17,15
36,23,36,18,16
37,24,37,20,17
38,26,38,21,17
39,27,39,22,18
40,28,40,23,19
41,30,41,24,20
42,31,42,25,21
43,32,43,26,22
44,33,44,27,22
45,35,45,28,23
46,36,46,29,24
47,37,47,30,25
48,38,48,31,25
49,40,49,32,26
50,41,50,33,27
51,42,51,34,28
52,43,52,35,28
53,44,53,36,29
54,45,54,37,30
55,46,55,38,30
56,48,56,39,31
57,49,57,40,32
58,50,58,41,32
59,51,59,42,33
60,52,60,44,34
61,53,61,45,34
62,54,62,46,35
63,55,63,47,35
64,56,64,48,36
65,57,65,49,36
66,58,66,50,37
67,59,67,51,38
68,60,68,52,38
69,61,69,53,39
70,62,70,54,39
71,62,71,54,40
72,63,72,55,40
73,64,73,56,41
74,65,74,57,41
75,66,75,58,42
76,67,76,59,42
77,68,77,60,42
78,68,78,61,43
79,69,79,62,43
80,70,80,63,44
81,71,81,64,44
82,72,82,65,45
83,72,83,66,45
84,73,84,67,45
85,74,85,68,46
